,word,clusters
2392,particle carrying,"particle carrying, particle crossing, particle turning, particles carrying, particles corresponds, photons carrying"
2393,particles forming,"particle forming, particle's momentum, particles contributing, particles crossing, particles emerging, particles forming, particles missing, particles sharing, subsystems forming"
2394,postulate,"conjugate, effect postulate, postulate, postulated, postulates, postulating, reformulate, unfortunate"
2395,priori,"error, primordial, prior, priori, priori motive, superiority"
2396,processes involved,"framework involved, process involving, processes invariant, processes involved, processes involving, processes obtained, processes unaffected, processes usually, reversal involved"
2397,proportional,"amount proportional, field proportional, proportion, proportional, proportionately, proportionately larger"
2398,quantum fluctuations,"lived fluctuations, quantum description, quantum expectation, quantum fluctuations, quantum fluctuationsvacuum, random fluctuation, randomly fluctuating, short-lived fluctuations, vacuum fluctuations"
2399,relational description,"Newtonian description, artificial restriction, bidirectional description, relational description, relativistic description, successful description, traditional description"
2400,repulsion exerted,"attraction exerted, pressure exerted, radiation emitted, repulsion apparently, repulsion arising, repulsion directed, repulsion exerted, repulsion experienced, repulsion otherwise, repulsion similar, repulsiongeneral, repulsionwormhole exotic, response expected"
2401,simplicity,"Implicitly, assumed implicitly, complexity, explicitly, greater simplicity, implicit, implicitly, regards simplicity, simplicity, simplifies, simply try, simultaneity"
2402,solve,"move, resolve, resolved, salvage, solve, solved, solves, someone, volume"
2403,stategeneral relativistic,"actiongeneral relativistic, bodiesgeneral relativistic, constantgeneral relativistic, distributiongeneral relativistic, fieldgeneral relativistic, forcegeneral relativistic, mapsgeneral relativistic, massgeneral relativistic, mattergeneral relativistic, nngeneral relativistic, ofgeneral relativistic, relativizedgeneral relativistic, signgeneral relativistic, stategeneral relativistic, structuregeneral relativistic, symmetrygeneral relativistic, withgeneral relativistic"
2404,surfaces,"Dirac's, outer layers, sources, stretches, subtracted, suffices, sufficient, surface, surfaceblack, surfaces"
2405,symmetry operationdiscrete,"combined operationsdiscrete, equivalent operationsdiscrete, symmetry operationdiscrete, symmetry operationsdiscrete, symmetry operationsthermodynamic, symmetry violationdiscrete, vectorpropagatordiscrete"
2406,thermal equilibrium,"energy equilibrium, noted disequilibrium, overall equilibrium, perfect equilibrium, thermal equilibrium, thermal equilibriumblack, thermal equilibriumquantum, thermal equilibriumsecond"
2407,time-symmetric viewpoint,"time-symmetric concept, time-symmetric context, time-symmetric evolution, time-symmetric physical, time-symmetric viewpoint"
2408,universal expansion,"universal expansion, universal expansionconstraint, universal proportion, universe's expansion"
2409,absolute gravitational,"absolute gravitational, absolute gravitationally, absolute non-relational, associated computational, associated gravitational, discrete gravitational, eliminate gravitation, observe gravitational, opposite gravitational, proposed gravitational"
2410,accept,"accept, acceptable, accepted, accidental, adjacent, adopt, attempt, attempts, succeed, unacceptable"
2411,accurate,"accumulate, accuracy, accurate, occupants, readily accumulate"
2412,applied forces,"allowed frequencies, applied external, applied forces, applied twice, repulsive forces"
2413,argue,"angle, argue, argued, language, safely argue, virtue"
2414,attract,"artifact, attract, attracted, attracting, attractive, attracts, bodies attract, extract, subtract"
2415,clearly distinct,"actually distinct, clearly contradict, clearly disagrees, clearly distinct, clearly identify, clearly indicates, clearly unjustified, energy distinct, freedom distinct, objectively distinct, possibly distinct, scale distinct"
2416,concerned,"Concerning, conceived, concern, concerned, concerning, concerns, connected, conserved, converge, conveyed, lesson learned, lessons learned, longer needs, succeeded, unobserved"
2417,considered valid,"consider voids, considered equivalent, considered invalid, considered map, considered meaningful, considered real, considered reversed, considered unchanged, considered valid, considered various, considered viable, constitute valid, longer valid"
2418,consistent notion,"connecting regions, consistent appreciation, consistent approach, consistent behavior, consistent bi-metric, consistent classical, consistent concept, consistent definition, consistent integration, consistent notion, consistent relational, consistent theory, consistent viewpoint, inconsistent formulations"
2419,continuous world-line,"continuous two-dimensional, continuous world-line, continuously occurring, continuum combined"
2420,creation process,"bifurcation points, catastrophic process, creation cosmic, creation process, creation processes, decreasing processes, learning process, observation process, propagation processes, radiation process, radiation produced, readily assess, reflection process, violating process"
2421,dependent energy,"decreasing energy, dependent energy, dependent generalized, dependent merely, dependent metric, dependent property, dependent sign, independent energy"
2422,directed toward,"attracted toward, decreases toward, directed Newtonian, directed downward, directed opposite, directed toward, direction toward, effective toward, objective toward, oriented toward, repelled outward"
2423,distinctions,"distant stars, distinct action, distinct forward, distinct local, distinct motions, distinct ordinary, distinct physical, distinction, distinction exists, distinction simply, distinctions, distinctions exist, distinctive, distinctively, distinctiveness, distribution, distributions, investigations, justifications, misconceptions, restrictions, six sections"
2424,distribution gravitational,"definition gravitational, distribution gravitational, distributiongravitational, distributionsinertial gravitational"
2425,electromagnetic field,"electromagnetic field, electromagnetic fieldblack, electromagnetic fields, electromagnetic phenomena, electromagnetic theory, electrostatic field"
2426,elevator experiment,"antimatter experiment, elevator experiment, elevators suspended, ultimate embodiment, well-known experiment"
2427,expressed,"addressed, compresses, excessive, express, expressed, expressed doubts, expresses, expressing, expression, formally expressed, possessed, stressed, suppression"
2428,function,"bifurcation, fiction, friction, function, functions"
2429,fundamental bidirectional,"consistent bidirectional, fundamental bidirectional, fundamental directional, fundamental interactions, fundamental theoretical, fundamental time-direction"
2430,hole informationquantum,"hole informationquantum, informationquantum"
2431,illustrates,"final stages, illustrate, illustrated, illustrates, illustrative, simply illustrates"
2432,information associated,"configuration associated, information associated, interaction associated, propagation Associated"
2433,information required,"information encoded, information needed, information persists, information require, information required"
2434,informationdiscrete,"PTC transformationdiscrete, backward motiondiscrete, formulationdiscrete, hole informationdiscrete, informationdiscrete, interactiondiscrete, interpretationdiscrete, joint variationdiscrete, transformationdiscrete, weak interactiondiscrete"
2435,interference,"gain confidence, immaterial reference, indifference, interfere, interference, interferences, unique reference"
2436,involving opposite,"annihilating opposite, carrying opposite, colliding opposite, involve opposite, involving opposite, involving spin, involving voids, observing oppositely, provide opposite"
2437,length,"beneath, depth, length, lengths, strength, tenth, twentieth, wavelength, wavelengths"
2438,located inside,"ejected outside, located beneath, located beyond, located inside, located mainly, located outside, motivated insight, related issue, trapped inside"
2439,magnetic fields,"Magnetic fields, magnetic field, magnetic fieldblack, magnetic fieldconstraint, magnetic fielddiscrete, magnetic fieldnegative, magnetic fields"
2440,mathematical developments,"Mathematical developments, mathematical developments, meaningful developments, original developments, theoretical developments"
2441,obeyed,"obeyed, obeys, observed, opened"
2442,observational viewpoint,"observation viewpoint, observational argument, observational viewpoint, observationally significant"
2443,operations classical,"abandoning classical, generalized classical, operations classical, operations semi-classical, operations traditional, regarding classical"
2444,opposite charge,"opposite change, opposite charge, opposite charges, opposite polarities, opposite space, opposite value, opposite-charge, oppositely charged, oppositely configured, oppositeness compared, proposed charge"
2445,ordinary particles,"ordinary antimatter, ordinary antiparticle, ordinary antiparticles, ordinary pairs, ordinary particle-antiparticle, ordinary particles, ordinary physical, ordinary surface, ordinary surfaces, original particle, radiate particles"
2446,pair annihilationtime,"annihilationtime, pair annihilation, pair annihilationmatter, pair annihilationnegative, pair annihilationtime, pair annihilationvacuum"
2447,parameters twice,"parameter leaves, parameter twice, parameters twice, parameters whenever, parametersblack"
2448,particles effectively,"experiences effectively, particle effectively, particles effectively, particles' electrical, possibilities effectively, processes effectively, world-lines effectively"
2449,particles reaching,"particle reaches, particle reaching, particles approaching, particles except, particles experiencing, particles interacting, particles mediating, particles reaching, particles remains, particles travelling"
2450,particles submitted,"object submitted, objects submitted, particle submitted, particles submitted, processes submitted"
2451,permanent,"Nickner Permanent, Permanent, clear meaning, eminent, permanencematter, permanencetime, permanent, permanently"
2452,previously explained,"previously appeared, previously emphasized, previously explained, thoroughly explored"
2453,propagating particle,"propagating antiparticle, propagating charges, propagating opposite, propagating particle, propagating particles, propagating positive"
2454,relate,"C-related, adequate, mediate, predates, relabel, relate, related, relates, release, relegate, remote, remotely, replace, replaces, replicate, rewrite, unrelated"
2455,relationally defined,"asymptotically defined, classically well-defined, relationally defined, relationally distinct, relatively defined, traditionally defined"
2456,remarks,"Feynman's, quarks, records, regards, remains, remark, remarkable, remarked, remarks"
2457,representation,"global representation, representation, representationtime, representative, valid representation"
2458,repulsionnegative,"formulationnegative, repulsion antigravity, repulsion originating, repulsionnegative, repulsionnegative mass, repulsionparticle, repulsionvacuum, repulsionwormhole, repulsive negative"
2459,reversing operation,"decreasing evolution, preserving operations, preserving variations, remaining operation, reversal operation, reversal operations, reversing operation, reversing operations"
2460,rigorously,"enormously, remains rigorously, rigorous, rigorous logical, rigorously, rigorously apply, rigorously equal, thoroughly"
2461,spatial positions,"initial conditions, leaves positions, space positions, spatial directions, spatial locations, spatial positions, special conditions"
2462,spatial scale,"spatial distance, spatial distances, spatial scale"
2463,special,"Specialists, crucial, ephemeral, especially, social, spatial, special, specialists, specific, specify, spectrum, spherical, superficial, superficially, theoryspecial"
2464,start,"apart, instant, instants, sort, star, stars, start, started, starts, static, status, steady, study"
2465,statistical mechanics,"Newtonian mechanics, entropystatistical mechanics, holestatistical mechanics, matterstatistical mechanicssecond, statistical average, statistical constraints, statistical mechanical, statistical mechanics, statistical physics"
2466,stress-energy tensorsvacuum,"stress-energy tensorsgeneral, stress-energy tensorsgravitational, stress-energy tensorsquantum, stress-energy tensorsvacuum"
2467,surprise,"enterprise, issue arises, purpose, summarize, surprise, surprised, surprising, survive"
2468,symmetry violation,"severe violation, symmetry operation, symmetry operations, symmetry relating, symmetry violating, symmetry violation, symmetry violationgeneral, symmetry violationnegative, symmetry violations, symmetry violationtime, symmetry violationvacuum"
2469,temperaturenegative temperatures,"radiationnegative temperatures, temperaturenegative temperatures, temperaturesnegative temperatures, thermodynamicsnegative temperatures"
2470,tensor experienced,"attraction experienced, density experienced, energy experienced, momentum experienced, response experienced, tensor experienced, tensors experienced"
2471,thermodynamics entropysecond,"thermodynamics energysecond, thermodynamics entropygravitational, thermodynamics entropysecond, thermodynamics entropyvacuum, thermodynamics microstatessecond, thermodynamics temperaturesecond"
2472,thermodynamics entropytime,"thermodynamics effectively, thermodynamics entropy, thermodynamics entropynegative, thermodynamics entropytime"
2473,time-related properties,"interrelated aspects, space-related parameters, space-related properties, spacetime-related properties, time-related parameters, time-related properties, time-related propertiestime, time-related quantities, time-reversed propagation"
2474,two-dimensional,"detailed three-dimensional, one-dimensional, three-dimensional, two-dimensional, two-dimensional angular, two-dimensional boundary"
2475,uniformly distributed,"evenly distributed, similarly distributed, spherically distributed, unequally distributed, uniform distribution, uniform distributions, uniformly distributed"
2476,viewpoint relative,"invariant relative, viewpoint Variation, viewpoint Variations, viewpoint according, viewpoint described, viewpoint despite, viewpoint necessarily, viewpoint negative, viewpoint relative, viewpoint remains"
2477,Mblack,"Cblack, Max Planck, Mblack, Planck, Tblack, block, blocks, boundblack, lack, massblack, nnblack"
2478,Planck energyquantum,"Planck areaquantum, Planck energyblack, Planck energynegative, Planck energyquantum, Planck energyvacuum, Planck lengthquantum, Planck massquantum, Planck momentumquantum, Planck scalequantum, Planck timequantum, masskinetic energyquantum, negative energyquantum, vacuum energyquantum"
2479,Planck scaleblack,"Planck areablack, Planck massblack, Planck scale, Planck scaleblack, Planck scalediscrete, Planck scalenegative, Planck scaletime, Planck timeblack, stable stateblack"
2480,Rutherford,"Furthermore, Rutherford, Rutherford atom, Rutherford model"
2481,accelerating relative,"accelerated reference, accelerating Einstein, accelerating elevator, accelerating negative, accelerating opposite, accelerating particle, accelerating positive, accelerating relative, acceleration relative, accelerationnegative"
2482,appreciate,"appreciate, appreciated, appreciating, appreciation, truly appreciate"
2483,attraction attributable,"actually attributable, attraction attributable, attractions attributable, information attributable"
2484,attractive field,"attraction directed, attractive field, attractive forces, attractive merely, interaction field"
2485,backward propagating,"backward propagating, forward propagated, forward propagating"
2486,basic operation,"PTC operation, basic operation, basic operations, basic violation, distinct operations, parity operation"
2487,becomes clear,"becomes apparent, becomes clear, becomes crucial, becomes infinite, becomes integrated, becomes larger, becomes meaningless, becomes relevant, becomes trapped, crystal clear"
2488,binary degree,"binary degree, binary measure, binary values, elementary degrees, sign degree, single degree"
2489,changed,"chance, change, changed, changes, changing, charged, charges, entangled, exchange, exchanged, exchanges, hinted, managed, nuanced, spanned, unchanged"
2490,chargesblack hole,"chargeblack hole, chargesblack hole, draggingblack hole, mechanicsblack hole"
2491,chose,"choice, choose, chose, chosen, closed, core, cost, cross, crossed"
2492,clarity,"causality, cavity, clarify, clarity, clearly, gravity, parity, polarity, rarity"
2493,complete description,"accurate description, complete description, complete determination, consistent description, discrete description, incomplete description, symmetric description"
2494,considered unavoidable,"considered indiscernible, considered unavoidable, considered unobservable, constitute unavoidable, constraints unavoidable"
2495,constraints imposed,"constraint imposed, constraints gives, constraints identified, constraints imposed, constraints related, constraints similar, continuity imposes"
2496,contain negative,"banning negative, conceived negative, concentrationsnegative, conceptnegative, concerning negative, conditionsnegative, constant derived, constantnegative, constitutes negative, constraintnegative, contain negative, containing exclusively, contribute negatively, dynamicsnegative, gain negative, obtain fine-grained, zero pointnegative"
2497,contradictory,"appear contradictory, central cavity, contradict, contradiction, contradictions, contradictory, contradictory proposal, self-contradictory, trajectory"
2498,conventionally defined,"continuity defined, conventionally assumed, conventionally defined, conventionally derived"
2499,coordinate system,"composite system, coordinate system, coordinate systems, coordinated fashion, coordinates remain, coordinatesdiscrete"
2500,cosmic expansion,"cosmic evolution, cosmic expansion, cosmic expansionmatter, cosmic expansiontime, cosmic microwave, cosmic proportion, rapid expansion"
2501,current predictions,"allows predictions, current assumptions, current expectations, current observations, current predictions, current restrictions, puzzling prediction, recent publications"
2502,defined direction,"backward direction, dedicated reflection, define attraction, defined Variation, defined attractive, defined direction, defined properties, definite direction, definition directional, perceived direction, preferred direction, redefined action, unchanged direction, unchanged directional, well-defined direction"
2503,defined discrete,"allowed discrete, defined concept, defined discrete, defined hypotheses, definition discrete, dependenciesdiscrete, discussed discrete, distinct discrete, handednessdiscrete, problem ofdiscrete, redefined discrete, using discrete"
2504,determined solely,"depends solely, determined completely, determined merely, determined simply, determined solely, determining local, drawn solely, interacts solely, predetermined property"
2505,draw,"Dirac, Trad, draw, drawn, drop, dynamic, withdraw"
2506,effectively appear,"effectively alter, effectively apparent, effectively appear, effectively appeared, effectively appears, effectively applies, effectively apply, effectively depends, effectively reach, effectively supported, section appear"
2507,effectively provide,"effectively forbids, effectively founded, effectively impossible, effectively involve, effectively obtained, effectively positive, effectively prevent, effectively produces, effectively propose, effectively provide, effectively provides, potentially provide"
2508,electric charge,"electric charge, electric charges, electrical charge, electrical charges"
2509,electric fields,"eccentric ideas, electric field, electric fielddiscrete, electric fields, electric forces, electrical forces"
2510,enable,"enable, enabled, enables, endurable, ensemble, establish, example, stable, suitable, tangible, undeniable, unreasonable, unstable, untenable, valuable, viable"
2511,encode,"embodied, embodies, embody, enclose, enclosed, encode, encoded, encodes, income"
2512,energy changes,"energies exchanged, energy change, energy changes, energy exchange, energy exchanges, energy larger, energy measures, energy reaches, energy unchanged, record changes"
2513,energysecond,"energiessecond, energy levelssecond, energysecond, entropysecond, levelssecond, lower energiessecond, mattersecond, permanencesecond, tensorssecond, universesecond"
2514,equally,"Actually, Finally, Locally, actually, causally, equal, equality, equally, eventually, globally, gradually, locally, mutually, naturally, presumably, qualify, totally, unequally, usually, virtually"
2515,equations proposed,"equation proposed, equations obtained, equations originally, equations predict, equations proposed, exactly superposed, operations proposed, tentatively proposed"
2516,equilibriumstatistical,"equilibrium statevacuum, equilibriumstatistical, static equilibriumstatistical, thermal equilibriumstatistical"
2517,equivalence equivalent,"equivalence entangled, equivalence equivalent, experienced equivalent"
2518,fields attributable,"effects attributable, energy attributable, entropy attributable, field attributable, field attributed, fields attributable, forces attributable, imbalance attributable, masses attributable, otherwise attributable, voids attributable"
2519,final configuration,"exact configuration, exist configurations, field configurations, final configuration, initial configuration, mixed configuration, neutral configurations, resulting configuration, singular configurations, three-dimensional configuration, ultimate confirmation, various configurations"
2520,finite size,"finite maximum, finite periods, finite size, infinitesimal, limited size"
2521,free fall,"free fall, freely falling, freely vary, freely-falling, proved fatal"
2522,freedom characterizing,"area characterizing, asymmetry characterizing, freedom characteristic, freedom characterizes, freedom characterizing, parameters characterizing, superfluous characterization"
2523,fundamental degree,"fundamental degree, fundamental degrees, fundamental parameters, fundamental properties, fundamental requirement, fundamental space, fundamental space-, fundamental theory, fundamentally decisive"
2524,gravitational forceprinciple,"Gravitation TheoryChristophe, gravitational fieldprinciple, gravitational forceprinciple, gravitational massprinciple"
2525,hole macroscopic,"hole Schwarzschild, hole macroscopic, hole masssecond, including macroscopic"
2526,hole temperature,"actual temperatures, higher temperature, hole temperature, hole temperatureblack, hole temperaturequantum, infinite temperature, initial temperature, low temperature, lower temperature, opposite temperature, zero temperature"
2527,insurmountable difficulty,"insurmountable difficulties, insurmountable difficulty, insurmountable problems"
2528,integrated,"disintegrate, disintegrates, fine-grained, inherited, integrally, integrate, integrated, integrates, integrating, interrelated, interrupted, length greater, timegrand, uninterrupted"
2529,interaction bosons,"fieldinteraction boson, interacting bodies, interacting masses, interacting systems, interaction boson, interaction bosons, interaction processes"
2530,local microscopic,"actual macroscopic, actual microscopic, associate microscopic, classical macroscopic, concerning microscopic, detailed microscopic, ephemeral microscopic, local microscopic, real macroscopic, similar microscopic, unknown microscopic, unobserved microscopic, various microscopic"
2531,macroscopic parameters,"macroscopic parameters, macroscopic parametersblack, macroscopic parametersdiscrete, macroscopic properties, microscopic parameters, microscopic properties"
2532,macroscopic surface,"macroscopic arrow, macroscopic physical, macroscopic physics, macroscopic stable-state, macroscopic surface, matter-enclosing surface, microscopic physical, microscopic surfaces"
2533,magnification,"clarification, clarifications, grand unification, identification, justification, magnification, magnificationblack, magnificationquantum, manifestation, modification, modifications, specific action, specification, timegrand unification, unification"
2534,maintain,"Einstein, contain, gmail com, joint PTC, lawdynamic, maintain, maintained, maintaining, mistaken"
2535,maximum densitiesgeneral,"maximum densitiesgeneral, maximum densitiesquantum"
2536,meaningful measure,"meaningful anymore, meaningful measure, meaningful measures, meaningful physical, meaningful property, meaningful spatial, meaningful value, meaningfully discuss"
2537,minus,"finds, kinds, lines, mainly, maximum, minds, minimum, minus, minus upper, minute, mistrust, points, thinks"
2538,minus indice,"Greek indices, minus indice, minus indices, plus indice, signs inside"
2539,momentadiscrete,"currentsdiscrete, essential discrete, hole chargediscrete, hole massdiscrete, horizondiscrete, momenta oriented, momentadiscrete, momentumdiscrete, movementdiscrete, propertydiscrete"
2540,momentadiscrete symmetry,"currentsdiscrete symmetry, equivalentdiscrete symmetry, horizondiscrete symmetry, lopsidednessdiscrete symmetry, momentadiscrete symmetry, momentum-energy symmetry, momentumdiscrete symmetry, movementdiscrete symmetry, propertydiscrete symmetry, reversaldiscrete symmetry"
2541,motivationsnegative,"energy motivationsnegative, exotic matternegative, fluctuationsnegative, gravitation negative, mass motivationsnegative, motivationsnegative, theory assumptionsnegative"
2542,natural value,"accurate value, actual value, features unique, maximum value, natural choice, natural maximum, natural scale, natural tendency, natural units, natural vacuum, natural value, naturally allow"
2543,negative actiontime,"negative actioncoordinative, negative actiondiscrete, negative actiongeneral, negative actionnegative, negative actiontime, negative potential, weak interactiontime"
2544,negative sign,"negative biding, negative heat, negative sign, negative simply, perceived sign, relative sign"
2545,non-equilibrium thermodynamics,"equilibrium thermodynamics, near-equilibrium thermodynamics, near-equilibrium thermodynamicstime, non-equilibrium thermodynamics, non-equilibrium thermodynamicsstatistical, non-equilibrium thermodynamicstime"
2546,operations antimatter,"action antimatter, characterize antimatter, gravitating antimatter, observed matter-antimatter, operations alternative, operations angular, operations antimatter, operations antimatterdiscrete, operations antimattertime, operations conjugate, operations enantiomorphic, operations kinematic, propagating antimatter, symmetry matter-antimatter"
2547,opposite signs,"opposite sides, opposite sign, opposite signs"
2548,overdensities,"cosmic densities, low densities, mass densities, overdense, overdense regions, overdense shell, overdensities, overdensity, typical densities, underdensities, underdensityvoids"
2549,overdensitynegative energy,"overdensitynegative energy, thermodynamicsnegative energy, underdensitynegative energy"
2550,parametersblack hole,"asymmetryblack hole, handednessblack hole, parametersblack hole, processesblack hole, propertiesblack hole"
2551,particle-antiparticle pair,"particle-antiparticle, particle-antiparticle annihilation, particle-antiparticle creation, particle-antiparticle pair, particle-antiparticle pairs"
2552,positive value,"decisive issue, definite value, exclusive values, intuitive belief, non-vanishing value, positive change, positive vacuum, positive value, positive values, relative value, resulting value"
2553,practical viewpoint,"classical viewpoint, inertial viewpoint, particular viewpoint, physical viewpoint, practical necessity, practical purpose, practical viewpoint, superficial viewpoint"
2554,propagate forward,"immutable forward, propagate forward, propagate toward, propagated forward, propagating forward"
2555,propagate negative,"predicted negative, predominantly negative, processesnegative, produce negative, propagate negative, propagate positive, propagates positive, propagating negative, propagationnegative, propertiesnegative, radiate negative"
2556,proper understanding,"appropriate understanding, consistent understanding, current understanding, improved understanding, proper understanding"
2557,property conjugate,"property actually, property conjugate, theory conjugate"
2558,purely relative,"appear relative, largely aesthetic, merely relative, process relative, purely attractive, purely relational, purely relative"
2559,quantum indeterminacy,"quantum indefiniteness, quantum indeterminacy, quantum uncertainty"
2560,quantum processes,"antimatter processes, bang processes, consider processes, quantum operatorsstate, quantum phasediscrete, quantum phenomenon, quantum processes"
2561,radiationblack hole,"absorptionblack hole, creationblack hole, definitionblack hole, formulationblack hole, gravitationblack hole, gravitationblack holeblack, interpretationblack hole, magnificationblack hole, radiationblack hole, radiusblack hole, redshiftblack hole, reductionblack hole, repulsionblack hole"
2562,reference systems,"reference system, reference systems"
2563,region considered,"bodies considered, contribution considered, convention considered, currently considered, model considered, operation considered, region centered, region considered, region delimited, region enclosed, tensor considered, void considered, volume considered"
2564,relative notion,"related portion, relative alterations, relative fashion, relative motion, relative motions, relative notion, relative orientation, tentative solution"
2565,relative property,"complicated property, defined property, occupying properly, range property, relational property, relative properties, relative property, relative quantity, relevant properties, researchers prefer"
2566,relativistic gravitational,"negative massgravitational, relativistic gravitational, relativistic theorygravitational"
2567,remains unchanged,"fermions unchanged, leaves unchanged, parameter unchanged, properties unchanged, remain unaffected, remain unchanged, remained unanswered, remained unchanged, remaining unchanged, remains unaffected, remains unchanged, remains unexplained, remains unsolved, rigorously unchanged, space unchanged, transform unchanged"
2568,retaining,"Organizing, Returning, bare minimum, beginning, coarse-graining, complaining, containing, engineering, learning, neutralizing, obtaining, prevailing, reasoning, reexamining, remaining, requiring, restraining, retaining, retracing, returning, weakening"
2569,reversed independently,"behave independently, conserved independently, considered independently, defined independently, measured independently, momentum independently, performed independently, preserved independently, processes independently, reverse independently, reversed independently, transform independently"
2570,rising,"Using, arising, biding, chasing, crossing, finishing, giving, missing, presuming, raising, rising, running, using, vanishing, writings"
2571,separate,"apparatuses, generate, separate, separated, separately"
2572,serious problems,"Six problems, enormous problems, serious problem, serious problems, severe problems, specific problems, theory problem', various problems"
2573,slight,"add weight, eight, slight, slightly, sought, straight, weight"
2574,smallest meaningful,"assumed meaningful, introduced meaningful, minimum meaningful, smallest meaningful"
2575,smooth,"shorthand, smooth, smoother, smoothness"
2576,spherical voids,"ignoring voids, spherical gas, spherical region, spherical regions, spherical shell, spherical void, spherical voids"
2577,statequantum,"Despite quantum, areaquantum, collapsequantum, constantquantum, holequantum, massquantum, matterquantum, scalequantum, spacequantum, stable statequantum, statements, statequantum, statevacuum, surfacequantum, timequantum, withquantum"
2578,statequantum gravitation,"areaquantum gravitation, collapsequantum gravitation, constantquantum gravitation, holequantum gravitation, massquantum gravitation, matterquantum gravitation, scalequantum gravitation, spacequantum gravitation, statequantum gravitation, subsequent annihilation, surfacequantum gravitation, timequantum gravitation, withquantum gravitation"
2579,symmetry violationconstraint,"symmetry operationconstraint, symmetry violationconstraint"
2580,symmetrynegative energy,"asymmetrynegative energy, momentumnegative energy, symmetriesnegative energy, symmetrynegative energy, symmetrynegative mass, systemsnegative energy, temperaturenegative energy"
2581,temperatureblack,"temperature nnblack, temperature object, temperatureblack, temperatureblack hole, temperatures nnblack, traversableblack"
2582,theory earlier,"mentioned earlier, theorem implies, theorems dealing, theory curvature, theory earlier, theory forbids, theory implies, theory irregular, theory metric, theory natural, theory reaches"
2583,thermodynamic properties,"thermodynamic processes, thermodynamic properties, thermodynamic timematter, thermodynamics smoothness"
2584,thermodynamically favored,"thermodynamically favored, thermodynamically unlikely"
2585,thermodynamics violation,"thermodynamic relationships, thermodynamic viewpoint, thermodynamics gravitational, thermodynamics violation, thermodynamics violationsecond, thermodynamics violationtime, thermodynamicsunification"
2586,thermodynamicsdiscrete,"hole thermodynamicsdiscrete, thermodynamic timediscrete, thermodynamics degrees, thermodynamics indicates, thermodynamicsdiscrete, thermodynamicsdiscrete symmetry"
2587,total measure,"compare measures, exact measure, provide measures, radical departure, similar measure, total measure, total vacuum, usual measure, usual measures"
2588,transition constraint,"PTC transformationconstraint, additional constraint, definitionconstraint, distributionsconstraint, expansionconstraint, familiar constraint, quantitative constraints, restrictive constraints, significant constraint, transformationconstraint, transition constraint, transition constraintdiscrete, transition energies, transition probabilities"
2589,usually consider,"actually consider, example consider, instead consider, normally consider, simply consider, totally confident, usually conceived, usually confined, usually consider, usually considered, usually unobserved"
2590,valid conclusion,"avoid confusion, bold conclusion, mentioned conclusion, rational conclusion, reached conclusion, similar conclusion, valid conclusion, valid solutions"
2591,various action,"various action, various authors, various bound, various conditions, various locations, various quantities, various specific"
2592,virtual processes,"discussed processes, observing processes, real processes, similar processes, unlikely processes, violating processes, virtual processes, virtual processesnegative, virtual processesvacuum"
2593,world-linetime,"world-line, world-line Compliance, world-linediscrete, world-linefermiontime, world-linematter, world-linenegative, world-lines, world-lines imposes, world-linetime"
2594,Birkhoff's theoremvoids,"Birkhoff's theorem, Birkhoff's theoremconstraint, Birkhoff's theoremvoids"
2595,Jean-Pierre,"Jean-Pierre, Jean-Pierre Petit, named Jean-Pierre"
2596,Newton's constant,"Boltzmann's constant, Einstein's constant, Newton's constant, Newton's equation, Newton's third"
2597,absolute direction,"absolute attractiveness, absolute definition, absolute direction, absolute directionality, absolute directionconstraint, absolute directiondiscrete, absolute distinction, absolute fashion, associated direction"
2598,accelerationrelativistic,"accelerationnegative mass, accelerationrelativistic, accelerationrelativistic frame"
2599,accommodate,"accommodate, accommodated, accommodating, atom model"
2600,actually appear,"actually appear, actually appeared, actually lower, actually purely, actually unnecessary, actually upward, circumstances appear, clearly appear, mutually repel, results appear, virtually absent"
2601,actually constitutes,"actually consists, actually constitute, actually constitutes, actually contradict, actually contribute, actually contributes, actually demonstrates, actually facilitates, actually originates, certainly constitutes, theory constitutes"
2602,actually dealing,"accuracy applying, actual reasons, actually adding, actually attractive, actually confirm, actually dealing, actually determined, actually determining, actually difficult, actually entering, actually negative, actually observing, actually obtaining, actually occurring, actually remain, actually retain, actually taking, actually telling, eventually becoming, literally emerging, locally decreasing, usually dealing"
2603,actually equivalent,"actual requirement, actually equivalent, effectively equivalent, physically equivalent, totally equivalent"
2604,actually explains,"actually experience, actually explain, actually explained, actually explains, eventually explain, mutually exclusive, probably explains"
2605,actually implies,"actually allows, actually amounts, actually applies, actually becomes, actually composed, actually implies, actually imply, actually improve, actually involve, actually involved, actually matters, actually simplifies, beautifully simple, distance implies, incidentally implies, usually applies"
2606,additional degree,"additional benefit, additional category, additional degree, additional degrees, additional energy, additional term"
2607,additional motive,"additional amount, additional binary, additional change, additional distinct, additional factors, additional insight, additional motivation, additional motive, additional negative, additional plus, additional problem, additional quantity, additional specific, additional symmetry, additional variables, rational motive"
2608,alternative formulation,"adequate formulation, alternative formulation, alternative formulationblack, alternative formulationdiscrete, alternative formulationnegative, alternative formulationtime, alternative interpretation, alternative notation, alternative proposalsgeneral, alternative situation, alternative solutions, axiomatic formulation, generalized formulation"
2609,anomalous response,"anomalous fashion, anomalous response"
